sequence,date,chapter
1,1997-08-04,1
2,1997-08-11,2
3,1997-08-18,3
4,1997-08-25,4
5,1997-09-08,5
6,1997-09-15,6
7,1997-09-22,7
8,1997-09-29,8
9,1997-10-06,9
10,1997-10-13,10
11,1997-10-20,11
12,1997-10-27,12
13,1997-11-03,13
14,1997-11-10,14
15,1997-11-17,15
16,1997-11-24,16
17,1997-12-01,17
18,1997-12-08,18
19,1998-01-01,19
20,1998-01-08,20
21,1998-01-15,21
22,1998-01-26,22
23,1998-01-31,23
24,1998-02-02,24
25,1998-02-09,25
26,1998-02-16,26
27,1998-02-23,27
28,1998-03-02,28
29,1998-03-09,29
30,1998-03-16,30
31,1998-03-23,31
32,1998-03-30,32
33,1998-04-06,33
34,1998-04-13,34
35,1998-04-20,35
36,1998-04-27,36
37,1998-05-04,37
38,1998-05-11,38
39,1998-05-25,39
40,1998-06-01,40
41,1998-06-08,41
42,1998-06-15,42
43,1998-06-22,43
44,1998-06-29,44
45,1998-07-06,45
46,1998-07-13,46
47,1998-07-20,47
48,1998-07-27,48
49,1998-08-03,49
50,1998-08-10,50
51,1998-08-17,51
52,1998-08-24,52
53,1998-09-07,53
54,1998-09-14,54
55,1998-09-21,55
56,1998-09-28,56
57,1998-10-05,57
58,1998-10-12,58
59,1998-10-19,59
60,1998-10-26,60
61,1998-11-02,61
62,1998-11-09,62
63,1998-11-16,63
64,1998-11-23,64
65,1998-11-30,65
66,1998-12-07,66
67,1999-01-01,67
68,1999-01-08,68
69,1999-01-15,69
70,1999-01-28,70
71,1999-01-31,71
72,1999-02-01,72
73,1999-02-08,73
74,1999-02-15,74
75,1999-02-22,75
76,1999-03-01,76
77,1999-03-08,77
78,1999-03-15,78
79,1999-03-22,79
80,1999-03-29,80
81,1999-04-05,81
82,1999-04-12,82
83,1999-04-19,83
84,1999-04-26,84
85,1999-05-03,85
86,1999-05-10,86
87,1999-05-24,87
88,1999-05-31,88
89,1999-06-07,89
90,1999-06-14,90
91,1999-06-21,91
92,1999-06-28,92
93,1999-07-05,93
94,1999-07-12,94
95,1999-07-19,95
96,1999-07-26,96
97,1999-08-02,97
98,1999-08-09,98
99,1999-08-16,99
100,1999-08-23,100
101,1999-09-06,101
102,1999-09-13,102
103,1999-09-20,103
104,1999-09-27,104
105,1999-10-04,105
106,1999-10-11,106
107,1999-10-18,107
108,1999-10-25,108
109,1999-11-01,109
110,1999-11-08,110
111,1999-11-15,111
112,1999-11-22,112
113,1999-11-29,113
114,1999-12-06,114
115,2000-01-01,115
116,2000-01-08,116
117,2000-01-10,117
118,2000-01-16,118
119,2000-01-31,119
120,2000-02-07,120
121,2000-02-14,121
122,2000-02-21,122
123,2000-02-28,123
124,2000-03-06,124
125,2000-03-13,125
126,2000-03-20,126
127,2000-03-27,127
128,2000-04-03,128
129,2000-04-10,129
130,2000-04-17,130
131,2000-04-24,131
132,2000-05-01,132
133,2000-05-08,133
134,2000-05-22,134
135,2000-05-29,135
136,2000-06-05,136
137,2000-06-12,137
138,2000-06-19,138
139,2000-06-26,139
140,2000-07-03,140
141,2000-07-10,141
142,2000-07-17,142
143,2000-07-24,143
144,2000-07-31,144
145,2000-08-07,145
146,2000-08-14,146
147,2000-08-21,147
148,2000-09-04,148
149,2000-09-11,149
150,2000-09-18,150
151,2000-09-25,151
152,2000-10-02,152
153,2000-10-09,153
154,2000-10-16,154
155,2000-10-23,155
156,2000-10-30,156
157,2000-11-06,157
158,2000-11-13,158
159,2000-11-20,159
160,2000-11-27,160
161,2000-12-04,161
162,2000-12-11,162
163,2001-01-01,163
164,2001-01-08,164
165,2001-01-10,165
166,2001-01-17,166
167,2001-01-29,167
168,2001-02-05,168
169,2001-02-12,169
170,2001-02-19,170
171,2001-02-26,171
172,2001-03-12,172
173,2001-03-19,173
174,2001-03-26,174
175,2001-04-02,175
176,2001-04-09,176
177,2001-04-16,177
178,2001-04-23,178
179,2001-04-30,179
180,2001-05-07,180
181,2001-05-21,181
182,2001-05-28,182
183,2001-06-04,183
184,2001-06-11,184
185,2001-06-18,185
186,2001-06-25,186
187,2001-07-02,187
188,2001-07-09,188
189,2001-07-16,189
190,2001-07-23,190
191,2001-07-30,191
192,2001-08-06,192
193,2001-08-13,193
194,2001-08-20,194
195,2001-09-03,195
196,2001-09-10,196
197,2001-09-17,197
198,2001-09-24,198
199,2001-10-01,199
200,2001-10-08,200
201,2001-10-15,201
202,2001-10-22,202
203,2001-10-29,203
204,2001-11-05,204
205,2001-11-12,205
206,2001-11-19,206
207,2001-11-26,207
208,2001-12-03,208
209,2001-12-10,209
210,2002-01-01,210
211,2002-01-08,211
212,2002-01-15,212
213,2002-01-17,213
214,2002-01-23,214
215,2002-02-04,215
216,2002-02-11,216
217,2002-02-18,217
218,2002-03-04,218
219,2002-03-11,219
220,2002-03-18,220
221,2002-03-25,221
222,2002-04-01,222
223,2002-04-08,223
224,2002-04-15,224
225,2002-04-22,225
226,2002-04-29,226
227,2002-05-06,227
228,2002-05-13,228
229,2002-05-27,229
230,2002-06-03,230
231,2002-06-10,231
232,2002-06-17,232
233,2002-06-24,233
234,2002-07-01,234
235,2002-07-08,235
236,2002-07-15,236
237,2002-07-22,237
238,2002-07-29,238
239,2002-08-05,239
240,2002-08-12,240
241,2002-08-19,241
242,2002-08-26,242
243,2002-09-09,243
244,2002-09-16,244
245,2002-09-23,245
246,2002-09-30,246
247,2002-10-07,247
248,2002-10-21,248
249,2002-10-28,249
250,2002-11-04,250
251,2002-11-11,251
252,2002-11-18,252
253,2002-11-25,253
254,2002-12-02,254
255,2002-12-09,255
256,2003-01-01,256
257,2003-01-08,257
258,2003-01-10,258
259,2003-01-22,259
260,2003-01-23,260
261,2003-02-03,261
262,2003-02-10,262
263,2003-02-17,263
264,2003-02-24,264
265,2003-03-03,265
266,2003-03-10,266
267,2003-03-17,267
268,2003-03-24,268
269,2003-03-31,269
270,2003-04-14,270
271,2003-04-21,271
272,2003-04-28,272
273,2003-05-05,273
274,2003-05-12,274
275,2003-05-26,275
276,2003-06-02,276
277,2003-06-09,277
278,2003-06-16,278
279,2003-06-23,279
280,2003-06-30,280
281,2003-07-07,281
282,2003-07-14,282
283,2003-07-21,283
284,2003-07-28,284
285,2003-08-04,285
286,2003-08-11,286
287,2003-08-25,287
288,2003-09-08,288
289,2003-09-15,289
290,2003-09-22,290
291,2003-09-29,291
292,2003-10-06,292
293,2003-10-13,293
294,2003-10-20,294
295,2003-10-27,295
296,2003-11-03,296
297,2003-11-10,297
298,2003-11-17,298
299,2003-11-24,299
300,2003-12-08,300
301,2004-01-01,301
302,2004-01-08,302
303,2004-01-15,303
304,2004-01-16,304
305,2004-01-23,305
306,2004-02-02,306
307,2004-02-09,307
308,2004-02-16,308
309,2004-02-23,309
310,2004-03-01,310
311,2004-03-08,311
312,2004-03-15,312
313,2004-03-22,313
314,2004-03-29,314
315,2004-04-05,315
316,2004-04-12,316
317,2004-04-26,317
318,2004-05-03,318
319,2004-05-10,319
320,2004-05-24,320
321,2004-05-31,321
322,2004-06-07,322
323,2004-06-14,323
324,2004-06-21,324
325,2004-06-28,325
326,2004-07-05,326
327,2004-07-12,327
328,2004-07-26,328
329,2004-08-02,329
330,2004-08-09,330
331,2004-08-16,331
332,2004-08-23,332
333,2004-09-06,333
334,2004-09-13,334
335,2004-09-20,335
336,2004-09-27,336
337,2004-10-04,337
338,2004-10-11,338
339,2004-10-18,339
340,2004-10-25,340
341,2004-11-01,341
342,2004-11-08,342
343,2004-11-15,343
344,2004-11-22,344
345,2004-11-29,345
346,2004-12-13,346
347,2005-01-01,347
348,2005-01-08,348
349,2005-01-13,349
350,2005-01-22,350
351,2005-01-31,351
352,2005-02-07,352
353,2005-02-14,353
354,2005-02-21,354
355,2005-02-28,355
356,2005-03-14,356
357,2005-03-21,357
358,2005-03-28,358
359,2005-04-04,359
360,2005-04-11,360
361,2005-04-18,361
362,2005-04-25,362
363,2005-05-02,363
364,2005-05-09,364
365,2005-05-23,365
366,2005-05-30,366
367,2005-06-06,367
368,2005-06-13,368
369,2005-06-20,369
370,2005-06-27,370
371,2005-07-04,371
372,2005-07-11,372
373,2005-07-18,373
374,2005-08-01,374
375,2005-08-08,375
376,2005-08-15,376
377,2005-08-22,377
378,2005-09-05,378
379,2005-09-12,379
380,2005-09-19,380
381,2005-09-26,381
382,2005-10-03,382
383,2005-10-10,383
384,2005-10-17,384
385,2005-10-24,385
386,2005-10-31,386
387,2005-11-14,387
388,2005-11-21,388
389,2005-11-28,389
390,2005-12-05,390
391,2005-12-12,391
392,2006-01-08,392
393,2006-01-15,393
394,2006-01-20,394
395,2006-01-28,395
396,2006-02-06,396
397,2006-02-13,397
398,2006-02-20,398
399,2006-02-27,399
400,2006-03-06,400
401,2006-03-13,401
402,2006-03-20,402
403,2006-03-27,403
404,2006-04-03,404
405,2006-04-10,405
406,2006-04-24,406
407,2006-05-01,407
408,2006-05-08,408
409,2006-05-22,409
410,2006-05-29,410
411,2006-06-05,411
412,2006-06-12,412
413,2006-06-19,413
414,2006-06-26,414
415,2006-07-03,415
416,2006-07-10,416
417,2006-07-17,417
418,2006-07-24,418
419,2006-07-31,419
420,2006-08-07,420
421,2006-08-14,421
422,2006-08-21,422
423,2006-09-04,423
424,2006-09-11,424
425,2006-09-18,425
426,2006-09-25,426
427,2006-10-02,427
428,2006-10-09,428
429,2006-10-16,429
430,2006-10-23,430
431,2006-11-06,431
432,2006-11-13,432
433,2006-11-20,433
434,2006-11-27,434
435,2006-12-04,435
436,2007-01-01,436
437,2007-01-08,437
438,2007-01-15,438
439,2007-01-22,439
440,2007-01-29,440
441,2007-02-05,441
442,2007-02-12,442
443,2007-02-19,443
444,2007-02-26,444
445,2007-03-05,445
446,2007-03-12,446
447,2007-03-19,447
448,2007-03-26,448
449,2007-04-09,449
450,2007-04-16,450
451,2007-04-23,451
452,2007-04-30,452
453,2007-05-07,453
454,2007-05-14,454
455,2007-05-28,455
456,2007-06-04,456
457,2007-06-11,457
458,2007-06-18,458
459,2007-06-25,459
460,2007-07-09,460
461,2007-07-16,461
462,2007-07-23,462
463,2007-07-30,463
464,2007-08-06,464
465,2007-08-13,465
466,2007-08-20,466
467,2007-09-03,467
468,2007-09-10,468
469,2007-09-17,469
470,2007-09-24,470
471,2007-10-08,471
472,2007-10-15,472
473,2007-10-22,473
474,2007-10-29,474
475,2007-11-05,475
476,2007-11-12,476
477,2007-11-19,477
478,2007-11-26,478
479,2007-12-03,479
480,2008-01-01,480
481,2008-01-08,481
482,2008-01-15,482
483,2008-01-21,483
484,2008-01-29,484
485,2008-02-04,485
486,2008-02-11,486
487,2008-02-18,487
488,2008-02-25,488
489,2008-03-10,489
490,2008-03-17,490
491,2008-03-24,491
492,2008-03-31,492
493,2008-04-07,493
494,2008-04-14,494
495,2008-04-21,495
496,2008-04-28,496
497,2008-05-05,497
498,2008-05-12,498
499,2008-06-02,499
500,2008-06-09,500
501,2008-06-16,501
502,2008-06-23,502
503,2008-06-30,503
504,2008-07-07,504
505,2008-07-14,505
506,2008-07-21,506
507,2008-08-04,507
508,2008-08-11,508
509,2008-08-18,509
510,2008-08-25,510
511,2008-09-08,511
512,2008-09-15,512
513,2008-09-22,513
514,2008-09-29,514
515,2008-10-06,515
516,2008-10-13,516
517,2008-10-20,517
518,2008-10-27,518
519,2008-11-10,519
520,2008-11-17,520
521,2008-11-24,521
522,2008-12-01,522
523,2008-12-08,523
524,2009-01-01,524
525,2009-01-08,525
526,2009-01-21,526
527,2009-01-28,527
528,2009-02-02,528
529,2009-02-09,529
530,2009-02-16,530
531,2009-02-23,531
532,2009-03-02,532
533,2009-03-09,533
534,2009-03-23,534
535,2009-03-30,535
536,2009-04-06,536
537,2009-04-13,537
538,2009-04-20,538
539,2009-04-27,539
540,2009-05-18,540
541,2009-05-25,541
542,2009-06-01,542
543,2009-06-08,543
544,2009-06-15,544
545,2009-06-22,545
546,2009-06-29,546
547,2009-07-06,547
548,2009-07-13,548
549,2009-07-20,549
550,2009-08-03,550
551,2009-08-10,551
552,2009-08-17,552
553,2009-08-24,553
554,2009-09-07,554
555,2009-09-14,555
556,2009-09-21,556
557,2009-10-05,557
558,2009-10-12,558
559,2009-10-19,559
560,2009-10-26,560
561,2009-11-09,561
562,2009-11-16,562
563,2009-11-23,563
564,2009-12-07,564
565,2009-12-14,0
566,2009-12-14,565
567,2010-01-01,566
568,2010-01-08,567
569,2010-01-14,568
570,2010-01-21,569
571,2010-02-01,570
572,2010-02-08,571
573,2010-02-15,572
574,2010-02-22,573
575,2010-03-01,574
576,2010-03-08,575
577,2010-03-22,576
578,2010-03-29,577
579,2010-04-05,578
580,2010-04-12,579
581,2010-04-19,580
582,2010-05-03,581
583,2010-05-10,582
584,2010-05-24,583
585,2010-05-31,584
586,2010-06-07,585
587,2010-06-14,586
588,2010-06-21,587
589,2010-06-28,588
590,2010-07-12,589
591,2010-07-19,590
592,2010-07-26,591
593,2010-08-02,592
594,2010-08-09,593
595,2010-08-16,594
596,2010-08-23,595
597,2010-09-06,596
598,2010-09-13,597
599,2010-10-18,598
600,2010-10-25,599
601,2010-11-01,600
602,2010-11-08,601
603,2010-11-15,602
604,2010-11-22,603
605,2010-11-29,604
606,2010-12-13,605
607,2011-01-01,606
608,2011-01-08,607
609,2011-01-14,608
610,2011-01-21,609
611,2011-01-31,610
612,2011-02-07,611
613,2011-02-14,612
614,2011-02-21,613
615,2011-02-28,614
616,2011-03-07,615
617,2011-03-14,616
618,2011-03-28,617
619,2011-04-04,618
620,2011-04-11,619
621,2011-04-25,620
622,2011-05-02,621
623,2011-05-09,622
624,2011-05-23,623
625,2011-05-30,624
626,2011-06-06,625
627,2011-06-13,626
628,2011-06-20,627
629,2011-07-04,628
630,2011-07-11,629
631,2011-07-18,630
632,2011-07-25,631
633,2011-08-01,632
634,2011-08-15,633
635,2011-08-22,634
636,2011-09-05,635
637,2011-09-12,636
638,2011-09-19,637
639,2011-09-26,638
640,2011-10-03,639
641,2011-10-10,640
642,2011-10-24,641
643,2011-10-31,642
644,2011-11-07,643
645,2011-11-14,644
646,2011-11-21,645
647,2011-12-05,646
648,2011-12-12,647
649,2012-01-01,648
650,2012-01-08,649
651,2012-01-15,650
652,2012-01-22,651
653,2012-01-30,652
654,2012-02-06,653
655,2012-02-13,654
656,2012-02-20,655
657,2012-02-27,656
658,2012-03-05,657
659,2012-03-19,658
660,2012-03-26,659
661,2012-04-02,660
662,2012-04-09,661
663,2012-04-16,662
664,2012-04-30,663
665,2012-05-07,664
666,2012-05-21,665
667,2012-05-28,666
668,2012-06-04,667
669,2012-06-11,668
670,2012-06-18,669
671,2012-06-25,670
672,2012-07-02,671
673,2012-07-16,672
674,2012-07-23,673
675,2012-07-30,674
676,2012-08-13,675
677,2012-08-27,676
678,2012-09-03,677
679,2012-09-10,678
680,2012-09-17,679
681,2012-09-24,680
682,2012-10-01,681
683,2012-10-08,682
684,2012-10-22,683
685,2012-10-29,684
686,2012-11-05,685
687,2012-11-12,686
688,2012-11-19,687
689,2012-11-26,688
690,2012-12-10,689
691,2013-01-01,690
692,2013-01-08,691
693,2013-01-15,692
694,2013-01-22,693
695,2013-01-29,694
696,2013-02-04,695
697,2013-02-11,696
698,2013-02-18,697
699,2013-02-25,698
700,2013-03-11,699
701,2013-03-18,700
702,2013-03-25,701
703,2013-04-08,702
704,2013-04-15,703
705,2013-04-22,704
706,2013-04-29,705
707,2013-05-06,706
708,2013-05-20,707
709,2013-05-27,708
710,2013-06-03,709
711,2013-06-24,710
712,2013-07-01,711
713,2013-07-15,712
714,2013-07-22,713
715,2013-07-29,714
716,2013-08-05,715
717,2013-08-19,716
718,2013-09-02,717
719,2013-09-09,718
720,2013-09-16,719
721,2013-09-23,720
722,2013-09-30,721
723,2013-10-14,722
724,2013-10-21,723
725,2013-10-28,724
726,2013-11-04,725
727,2013-11-18,726
728,2013-11-25,727
729,2013-12-02,728
730,2013-12-09,729
731,2014-01-08,730
732,2014-01-15,731
733,2014-01-22,732
734,2014-01-29,733
735,2014-02-03,734
736,2014-02-10,735
737,2014-02-17,736
738,2014-02-24,737
739,2014-03-10,738
740,2014-03-17,739
741,2014-03-24,740
742,2014-03-31,741
743,2014-04-14,742
744,2014-04-21,743
745,2014-04-28,744
746,2014-05-12,745
747,2014-05-26,746
748,2014-06-02,747
749,2014-06-09,748
750,2014-06-16,749
751,2014-07-07,750
752,2014-07-14,751
753,2014-07-21,752
754,2014-08-04,753
755,2014-08-11,754
756,2014-08-18,755
757,2014-08-25,756
758,2014-09-08,757
759,2014-09-15,758
760,2014-09-22,759
761,2014-09-29,760
762,2014-10-06,761
763,2014-10-20,762
764,2014-10-27,763
765,2014-11-03,764
766,2014-11-10,765
767,2014-11-24,766
768,2014-12-01,767
769,2014-12-08,768
770,2015-01-01,769
771,2015-01-15,770
772,2015-01-21,771
773,2015-01-28,772
774,2015-02-02,773
775,2015-02-09,774
776,2015-02-16,775
777,2015-03-02,776
778,2015-03-09,777
779,2015-03-16,778
780,2015-03-23,779
781,2015-04-06,780
782,2015-04-13,781
783,2015-04-20,782
784,2015-04-27,783
785,2015-05-11,784
786,2015-05-25,785
787,2015-06-01,786
788,2015-06-08,787
789,2015-06-15,788
790,2015-06-22,789
791,2015-07-06,790
792,2015-07-13,791
793,2015-07-20,792
794,2015-07-27,793
795,2015-08-03,794
796,2015-08-17,795
797,2015-08-24,796
798,2015-09-07,797
799,2015-09-14,798
800,2015-09-21,799
801,2015-10-05,800
802,2015-10-12,801
803,2015-10-19,802
804,2015-10-26,803
805,2015-11-09,804
806,2015-11-16,805
807,2015-11-23,806
808,2015-12-07,807
809,2015-12-14,808
810,2016-01-01,809
811,2016-01-15,810
812,2016-01-22,811
813,2016-02-01,812
814,2016-02-08,813
815,2016-02-15,814
816,2016-02-22,815
817,2016-02-29,816
818,2016-03-14,817
819,2016-03-21,818
820,2016-03-28,819
821,2016-04-04,820
822,2016-04-18,821
823,2016-04-25,822
824,2016-05-02,823
825,2016-05-09,824
826,2016-05-23,825
827,2016-06-06,826
828,2016-06-13,827
829,2016-06-20,828
830,2016-07-04,829
831,2016-07-11,830
832,2016-07-18,831
833,2016-08-01,832
834,2016-08-08,833
835,2016-08-15,834
836,2016-08-22,835
837,2016-09-05,836
838,2016-09-12,837
839,2016-09-19,838
840,2016-10-03,839
841,2016-10-10,840
842,2016-10-17,841
843,2016-10-24,842
844,2016-11-07,843
845,2016-11-14,844
846,2016-11-21,845
847,2016-12-05,846
848,2016-12-12,847
849,2017-01-01,848
850,2017-01-08,849
851,2017-01-15,850
852,2017-01-23,851
853,2017-01-30,852
854,2017-02-13,853
855,2017-02-20,854
856,2017-02-27,855
857,2017-03-06,856
858,2017-03-20,857
859,2017-03-27,858
860,2017-04-03,859
861,2017-04-10,860
862,2017-04-17,861
863,2017-05-01,862
864,2017-05-14,863
865,2017-05-22,864
866,2017-05-29,865
867,2017-06-12,866
868,2017-06-19,867
869,2017-06-26,868
870,2017-07-03,869
871,2017-07-17,870
872,2017-07-24,871
873,2017-07-31,872
874,2017-08-07,873
875,2017-08-28,874
876,2017-09-04,875
877,2017-09-11,876
878,2017-09-18,877
879,2017-10-02,878
880,2017-10-09,879
881,2017-10-16,880
882,2017-10-23,881
883,2017-11-06,882
884,2017-11-13,883
885,2017-11-20,884
886,2017-11-27,885
887,2017-12-11,886
888,2018-01-01,887
889,2018-01-08,888
890,2018-01-15,889
891,2018-01-22,890
892,2018-01-29,891
893,2018-02-12,892
894,2018-02-19,893
895,2018-02-26,894
896,2018-03-05,895
897,2018-03-19,896
898,2018-03-26,897
899,2018-04-02,898
900,2018-04-09,899
901,2018-04-16,900
902,2018-04-30,901
903,2018-05-07,902
904,2018-05-21,903
905,2018-05-28,904
906,2018-06-11,905
907,2018-06-18,906
908,2018-06-25,907
909,2018-07-02,908
910,2018-07-16,909
911,2018-07-23,910
912,2018-07-30,911
913,2018-08-06,912
914,2018-08-20,913
915,2018-09-03,914
916,2018-09-10,915
917,2018-09-17,916
918,2018-10-01,917
919,2018-10-08,918
920,2018-10-15,919
921,2018-10-22,920
922,2018-11-05,921
923,2018-11-12,922
924,2018-11-19,923
925,2018-11-26,924
926,2018-12-10,925
927,2019-01-01,926
928,2019-01-08,927
929,2019-01-22,928
930,2019-01-29,929
931,2019-02-04,930
932,2019-02-18,931
933,2019-02-25,932
934,2019-03-04,933
935,2019-03-11,934
936,2019-03-25,935
937,2019-04-01,936
938,2019-04-08,937
939,2019-04-15,938
940,2019-04-29,939
941,2019-05-06,940
942,2019-05-13,941
943,2019-05-27,942
944,2019-06-10,943
945,2019-06-17,944
946,2019-06-24,945
947,2019-07-08,946
948,2019-07-15,947
949,2019-07-22,948
950,2019-08-05,949
951,2019-08-12,950
952,2019-08-19,951
953,2019-09-02,952
954,2019-09-09,953
955,2019-09-16,954
956,2019-09-30,955
957,2019-10-07,956
958,2019-10-14,957
959,2019-10-21,958
960,2019-11-04,959
961,2019-11-11,960
962,2019-11-18,961
963,2019-12-02,962
964,2019-12-09,963
965,2020-01-01,964
966,2020-01-15,965
967,2020-01-22,966
968,2020-01-29,967
969,2020-02-03,968
970,2020-02-10,969
971,2020-02-17,970
972,2020-03-02,971
973,2020-03-09,972
974,2020-03-23,973
975,2020-03-30,974
976,2020-04-06,975
977,2020-04-20,976
978,2020-04-27,977
979,2020-05-11,978
980,2020-05-25,979
981,2020-06-08,980
982,2020-06-22,981
983,2020-06-29,982
984,2020-07-06,983
985,2020-07-20,984
986,2020-08-03,985
987,2020-08-17,986
988,2020-08-24,987
989,2020-09-07,988
990,2020-09-21,989
991,2020-09-28,990
992,2020-10-12,991
993,2020-11-02,992
994,2020-11-09,993
995,2020-11-16,994
996,2020-11-30,995
997,2020-12-07,996
998,2020-12-14,997
999,2021-01-08,998
1000,2021-01-15,999
1001,2021-01-22,1000
1002,2021-02-01,1001
1003,2021-02-15,1002
1004,2021-02-22,1003
1005,2021-03-01,1004
1006,2021-03-15,1005
1007,2021-03-22,1006
1008,2021-03-29,1007
1009,2021-04-12,1008
1010,2021-04-19,1009
1011,2021-04-26,1010
1012,2021-05-10,1011
1013,2021-05-24,1012
1014,2021-05-31,1013
1015,2021-06-14,1014
1016,2021-06-21,1015
1017,2021-06-28,1016
1018,2021-07-12,1017
1019,2021-07-19,1018
1020,2021-08-02,1019
1021,2021-08-16,1020
1022,2021-08-23,1021
1023,2021-09-06,1022
1024,2021-09-13,1023
1025,2021-09-20,1024
1026,2021-09-27,1025
1027,2021-10-11,1026
1028,2021-10-18,1027
1029,2021-10-25,1028
1030,2021-11-08,1029
1031,2021-11-15,1030
1032,2021-11-22,1031
1033,2021-12-06,1032
1034,2021-12-13,1033
1035,2022-01-01,1034
1036,2022-01-15,1035
1037,2022-01-22,1036
1038,2022-01-31,1037
1039,2022-02-14,1038
1040,2022-02-21,1039
1041,2022-02-28,1040
1042,2022-03-14,1041
1043,2022-03-21,1042
1044,2022-03-28,1043
1045,2022-04-11,1044
1046,2022-04-18,1045
1047,2022-04-25,1046
1048,2022-05-09,1047
1049,2022-05-23,1048
1050,2022-05-30,1049
1051,2022-06-13,1050
1052,2022-06-20,1051
1053,2022-06-27,1052
1054,2022-07-04,1053
1055,2022-08-08,1054
1056,2022-08-15,1055
1057,2022-08-22,1056
1058,2022-09-05,1057
1059,2022-09-12,1058
1060,2022-09-26,1059
1061,2022-10-03,1060
1062,2022-10-10,1061
1063,2022-10-24,1062
1064,2022-10-31,1063
1065,2022-11-07,1064
1066,2022-11-21,1065
1067,2022-11-28,1066
1068,2022-12-05,1067
1069,2023-01-01,1068
1070,2023-01-08,1069
1071,2023-01-22,1070
1072,2023-01-29,1071
1073,2023-02-06,1072
1074,2023-02-13,1073
1075,2023-02-27,1074
1076,2023-03-06,1075
1077,2023-03-13,1076
1078,2023-03-27,1077
1079,2023-04-03,1078
1080,2023-04-10,1079
1081,2023-04-24,1080
1082,2023-05-08,1081
1083,2023-05-22,1082
1084,2023-05-29,1083
1085,2023-06-05,1084
1086,2023-06-19,1085
1087,2023-06-26,1086
1088,2023-07-31,1087
1089,2023-08-07,1088
1090,2023-08-21,1089
1091,2023-09-04,1090
1092,2023-09-18,1091
1093,2023-10-02,1092
1094,2023-10-09,1093
1095,2023-10-23,1094
1096,2023-10-30,1095
1097,2023-11-13,1096
1098,2023-11-20,1097
1099,2023-11-27,1098
1100,2023-12-11,1099
1101,2024-01-01,1100
1102,2024-01-08,1101
1103,2024-01-22,1102
1104,2024-01-29,1103
1105,2024-02-05,1104
1106,2024-02-12,1105
1107,2024-02-19,1106
1108,2024-03-04,1107
1109,2024-03-11,1108
1110,2024-03-18,1109
1111,2024-04-01,1110
1112,2024-04-08,1111
1113,2024-05-06,1112
1114,2024-05-20,1113
1115,2024-05-27,1114
1116,2024-06-10,1115
1117,2024-06-17,1116
1118,2024-07-01,1117
1119,2024-07-08,1118
1120,2024-07-15,1119
1121,2024-07-29,1120
1122,2024-08-05,1121
1123,2024-08-26,1122
1124,2024-09-02,1123
1125,2024-09-09,1124
1126,2024-09-23,1125
1127,2024-09-30,1126
1128,2024-10-07,1127
1129,2024-10-21,1128
1130,2024-10-28,1129
1131,2024-11-04,1130
1132,2024-11-25,1131
1133,2025-01-01,1132
1134,2025-01-08,1133
1135,2025-01-22,1134
1136,2025-01-29,1135
1137,2025-02-03,1136
1138,2025-02-10,1137
1139,2025-02-17,1138
1140,2025-02-24,1139
1141,2025-03-10,1140
1142,2025-03-17,1141
1143,2025-03-24,1142
1144,2025-04-07,1143
1145,2025-04-14,1144
1146,2025-04-21,1145
1147,2025-05-05,1146
1148,2025-05-12,1147
1149,2025-05-26,1148
1150,2025-06-09,1149
1151,2025-06-16,1150
1152,2025-06-23,1151
1153,2025-07-07,1152
1154,2025-07-14,1153
1155,2025-07-28,1154
1156,2025-08-04,1155
1157,2025-08-18,1156
1158,2025-09-01,1157
1159,2025-09-15,1158
1160,2025-09-22,1159
1161,2025-09-29,1160
1162,2025-10-13,1161
1163,2025-10-27,1162
1164,2025-11-10,1163
1165,2025-11-17,1164
1166,2025-11-24,1165
1167,2025-12-08,1166
1168,2026-01-01,1167
1169,2026-01-08,1168
1170,2026-01-22,1169
1171,2026-01-29,1170
1172,2026-02-02,1171
1173,2026-02-16,1172
1174,2026-02-23,1173
1175,2026-03-02,1174
1176,2026-03-16,1175
